0050  	06205P	
0050  	06700P	
0050  	06766P	
0050  	06750P	
0050  	06871P	
0050  	074171	
0050  	075741	
0061  	073912	
0061  	074576	
006205	074577	
006205	073913	
006206	073914	
006206	074578	
006207	073915	
00632R	074172	
00632R	074173	
00632R	074174	
00632R	074175	
00632R	076522	
00632R	076523	
00632R	076524	
00632R	069093	
00632R	069094	
00632R	069095	
00632R	069096	
00632R	069097	
00632R	069098	
00632R	061913	
00632R	061914	
00632R	061915	
00633L	05839P	
00633L	069099	
00633L	069100	
00633L	069438	
00633L	069592	
00633L	071049	
00633L	07248P	
00633L	076525	
00633L	076368	
00633L	075903	
00633L	074797	
00633L	074872	
00633L	074579	
00633L	076944	
00633L	076198	
00633L	077498	
00633L	078428	
00634R	069101	
00634R	04849P	
00634R	065160	
00636 	074580	
00636 	073916	
00637L	074176	
00637L	074581	
00637L	074218	
00637L	074064	
00637L	074873	
00637L	074798	
00637L	076369	
00637L	076526	
00637L	076527	
00637L	076409	
00637L	076410	
00637L	076199	
00637L	078336	
00637L	076263	
00637L	07658P	
00637L	07659P	
00637L	06289P	
00637L	069404	
00637L	069405	
00637L	06926P	
00637L	07249P	
00637L	071257	
00637L	071258	
00637L	071259	
00637L	071260	
00637L	071261	
00637L	071262	
00637L	071263	
00637L	070725	
00639 	073917	
00643 	073918	
00643 	074582	
00655L	076411	
00655L	076528	
00655L	076137	
00655L	074957	
00655L	075352	
00655L	075578	
00655L	078429	
00655L	076200	
00655L	07277P	
00655L	069593	
00659R	063569	
00672L	06767P	
00673R	077042	
1000  	077490	
1000  	077491	
1000  	075747	
1000  	075748	
1000  	074222	
1000  	07374P	
1000  	07375P	
1000  	07376P	
1000  	07377P	
1000  	073846	
1000  	073847	
1000  	06751P	
1000  	06814P	
1000  	068946	
1000  	068947	
1000  	068948	
1000  	068949	
1000  	06477P	
1000  	06478P	
1000  	06479P	
1000  	06480P	
1000  	03352B	
1000  	05759P	
1000  	05760P	
1000  	05761P	
1000  	05762P	
1000  	05763P	
1000  	06143P	
1000  	06144P	
1000  	06145P	
1000  	06146P	
1000  	06147P	
1000  	072418	
1000  	072419	
1000  	072420	
1000  	070650	
1000  	070651	
1000  	070652	
1000  	070653	
1000  	07028P	
1000  	07029P	
1000  	07030P	
1000  	07031P	
1101  	071942	
1101  	078125	
1215  	074685	
1215  	074874	
1215  	072738	
1216  	072739	
1216  	075579	
1262  	074875	
1262  	073620	
1262  	070829	
1262  	070815	
1262  	069261	
1301  	072672	
1301  	073919	
1303  	074583	
1303  	074584	
1305  	076412	
1305  	070830	
1305  	071131	
1310  	071132	
1310  	071133	
1310  	077499	
1312  	078234	
1312  	078235	
1312  	073452	
1312  	073453	
1312  	069180	
1312  	069181	
1312  	06666P	
1314  	06193P	
1314  	069860	
1314  	069406	
1314  	07009P	
1314  	072406	
1314  	071570	
1314  	073621	
1314  	073844	
1314  	074686	
1314  	074958	
1319  	072984	
1326  	076945	
1326  	076946	
1338  	070772	
1444  	074687	
1444  	074688	
1476  	074585	
1476  	074377	
1476  	075109	
1476  	076947	
1476  	069407	
1476  	05868P	
1477  	077973	
1515  	074484	
1515  	074485	
1536  	075833	
1536  	078274	
1536  	06095P	
1536  	070554	
1536  	072479	
1560  	077974	
1560  	073513	
1565  	70643P	
1565  	733304	
1565  	733305	
1565  	733898	
1565  	734797	
1565  	735264	
1565  	735285	
1565  	736408	
1586  	735207	
1589  	076601	
1589  	076707	
1589  	075904	
1589  	072112	
1590  	074876	
1590  	077157	
1590  	077677	
1597  	733509	
1597  	733674	
1597  	735208	
1597  	735617	
1597  	735916	
1597  	735917	
1605  	077158	
1605  	076708	
1605  	070122	
1605  	069861	
1608  	071377	
1609  	072043	
1609  	076709	
1704  	071378	
1707  	069523	
1707  	077159	
1707  	077160	
1707  	078600	
1707  	075263	
1707  	073920	
1710  	074486	
1710  	077481	
1710  	068934	
1718  	072328	
1718  	074689	
1723  	076948	
1723  	076949	
1802  	071379	
1815  	733777	
1815  	733270	
1815  	735426	
1815  	734882	
1815  	733933	
1815  	734308	
1815  	734366	
1909  	074586	
1909  	070280	
1909  	06033P	
2002  	076370	
2023  	071134	
2027  	071380	
2027  	071868	
2027  	074877	
2027  	074959	
2027  	077678	
2027  	077679	
2027  	077861	
2031  	077680	
2031  	077681	
2031  	077682	
2031  	076602	
2031  	076603	
2031  	073921	
2031  	073922	
2049  	073923	
2049  	074587	
2049  	074690	
2049  	076710	
2049  	076711	
2049  	076712	
2049  	078337	
2049  	078236	
2049  	07266P	
2049  	07267P	
2049  	070476	
2049  	06067P	
2104  	071943	
2104  	071944	
2104  	076713	
2228  	070399	
2231  	070726	
2231  	072985	
2231  	077482	
2231  	077483	
2231  	077484	
2231  	074691	
2231  	074692	
2231  	07373P	
2233  	733630	
2233  	735653	
2239  	070220	
2301  	069862	
2301  	078338	
2301  	074693	
2303  	075742	
2303  	075743	
2303  	069182	
2303  	069183	
2303  	05821P	
2303  	06339P	
2303  	07026P	
2303  	071767	
2303  	071768	
2308  	072673	
2308  	07500P	
2308  	075580	
2308  	073514	
2308  	078059	
2308  	078706	
2313  	076714	
2313  	073727	
2313  	074487	
2313  	070060	
2313  	068685	
2317  	068935	
2317  	068936	
2317  	068937	
2317  	068938	
2317  	068939	
2317  	06447P	
2317  	06448P	
2317  	06449P	
2317  	06450P	
2317  	05756P	
2317  	05757P	
2317  	05758P	
2317  	05956P	
2317  	05957P	
2317  	069907	
2317  	069908	
2317  	07001P	
2317  	07002P	
2317  	07003P	
2317  	072329	
2317  	072330	
2317  	072331	
2317  	072332	
2317  	072333	
2317  	073970	
2317  	073971	
2317  	075581	
2317  	075582	
2317  	075583	
2317  	075584	
2317  	07485P	
2317  	07486P	
2317  	077975	
2317  	077976	
2317  	077977	
2317  	077978	
2324  	070221	
2327  	06970P	
2327  	072740	
2327  	072741	
2327  	072893	
2327  	07136P	
2327  	06539P	
2327  	06667P	
2327  	069184	
2327  	077585	
2327  	077586	
2327  	076715	
2327  	076716	
2327  	076717	
2327  	076718	
2327  	078707	
2327  	078708	
2327  	078709	
2327  	078710	
2327  	078601	
2327  	076138	
2327  	07616P	
2327  	07617P	
2327  	074065	
2328  	069633	
2330  	06852P	
2330  	06853P	
2330  	06562P	
2330  	06137P	
2330  	06138P	
2330  	06139P	
2330  	06140P	
2330  	06141P	
2330  	072894	
2330  	072895	
2330  	070638	
2330  	070639	
2330  	070640	
2330  	070641	
2330  	070642	
2330  	07084P	
2330  	074488	
2330  	074489	
2330  	07463P	
2330  	07464P	
2330  	07465P	
2330  	078602	
2330  	078603	
2330  	076604	
2330  	077862	
2330  	077863	
2330  	077864	
2330  	077784	
2337  	076719	
2337  	076720	
2337  	077336	
